session_id,guest_id,user_id,party_id,record_source,event_type,category,sub_category,action,event_action,environment,service_line,natco_code,label,page_name,event_date,log_time,event_timestamp,user_device_type,user_device_os_name,page_url,user_type,user_login_type,page_section_name,segment,order_id,order_type,product_category,error_type,error_description,device_id,product_variant_name,contract_card_type,business_group,buying_option,product_name,entry_point,ab_experiment,ab_experiment_variant,ui_page_category,is_internal_employee,identifiers_customer_type,attribute_customer_type,attribute_checkout_type
13af80d83d79470bbff50ea351b20e35b5cf65a2d144dcd7d8cbf3574d78810ca05280cf71bad249ce252cc5d5bf5e15a4788a8bc6a6ad4aa5b47c5750e9d4cc,a395cb53-7f79-4af7-bc15-ea2d8e5f7afd,,,OneShop,event,acquisition,one-checkout,clickInteractions,,prod,fixed,de,Weiter,checkout/account,2026-07-01,1782926531903,2026-07-01T17:22:12,desktop,,https://www.telekom.de/shop/one-checkout/account,,guest,Weiter,B2C,,,,,,,,,,,,,NA,NA,general,no,,,normal
092c71c46a0de970519e5e98d9c1b08e9ce7f83d9ac69e0ed0c40a73af6b28b4dc3d8851e8e9f42654f0361ec2485070952089887ad31417d2a7c8393a2d8532,b7550bf8-eebd-4d06-a228-3002e4ff6a0d,,,OneShop,event,acquisition,,optimize.activate,,prod,ott,de,,BASKET,2026-07-01,1782885306940,2026-07-01T05:55:07,phone,,https://www.telekom.de/shop/basket,,guest,,B2C,,,,,,,,,,,,,NA,NA,general,no,,,
dcf765f94cc96705710028a37688908a719d219dd277853efa51d0d822da91b79e4d15a11626f432c2fe3ce2458e721bb0f6f94c6c2e5c6031a90fe14150f929,f74c3e55-14a4-4e57-add1-f1f0c351444a,,,OneShop,event,acquisition,one-checkout,checkoutSubStepViewed,,prod,mobile,de,login or registration,checkout/account,2026-07-01,1782902267893,2026-07-01T10:37:51,phone,,https://www.telekom.de/shop/one-checkout/account,,guest,,B2C,,,,,,,,,,,,,NA,NA,general,no,,,normal
01de4be7051170d242660a02ee90b85d415c25da20b5daff95949dddb7c0ba00cb9fb94c15573806170d38a545fa435b20c794c2ca5861e5ca2c971d4a076329,7a91495d-5d7b-45da-92e7-0c53f8eb16c4,100049017300139718890001,,OneShop,event,acquisition,one-checkout,checkoutSubStepSubmitted,,prod,mobile,de,choose identification method,checkout/identification,2026-07-01,1782893335242,2026-07-01T08:08:55,desktop,,https://www.telekom.de/shop/one-checkout/identification,,loggedin,,B2C,,,,,,,,,,,,,NA,NA,general,no,greenfield,,normal
64c09318630efc8342ee507753894542e3ab8be33612bc743d549c50db73802342dd5d3a94fa0e138f34c1b1e4542dab20507fb22df37714f210edd52f9d410d,dea0f7d9-37ea-4241-b8fc-a5eda36efc90,,,OneShop,event,acquisition,,basket trigger,,prod,ott,de,,BASKET,2026-07-01,1782907081570,2026-07-01T11:58:01,desktop,,https://www.telekom.de/shop/basket,,guest,,B2C,,,,,,,,,,,,,NA,NA,general,no,,,
beb04b09de373482208dd3685554e34bb7d3b759ab886232649bfbfb5a9126f2be77cc4ba227c89874dca0951b7e1ae45b629bdae7b7116e2e7ca2a7a18eabad,d5a1eea9-de9f-4f4a-ac03-3db42e8470ad,100049017300139222210001,2ed056cf-325f-4a9a-920a-6107da36069e,OneShop,event,acquisition,one-checkout,checkoutStepViewed,,prod,mobile,de,consent,checkout/consent,2026-07-01,1782905876376,2026-07-01T11:37:56,desktop,,https://www.telekom.de/shop/one-checkout/consent,,loggedin,,B2C,,,Smartwatches,,,,XPLORA Kids Watch X6 Play eSIM (2025) ,,OTHER,bundle,XPLORA Kids Watch X6 Play eSIM (2025),,NA,NA,general,no,brownfield,NA,normal
8ef98cecf83bf1a15cc9c9281aef9261273786c7ce76337046088a0669b82b2a29ac5104c0a10ca1ab8b4e4ae60869cb977d74638f46e0e5ef5af8d1e5a7d72a,eddfbb30-b0f1-4f8e-83ed-d70fdaad31d8,,,OneShop,event,acquisition,,addToCart,,prod,fixed,de,product is added it,BASKET,2026-07-01,1782904221420,2026-07-01T11:10:08,desktop,,https://www.telekom.de/shop/basket,,guest,,B2C,,,Fixed Service/addon/broadbandAddon,,,,Heimnetz-Diagnose,,AUTOMATIC_ONTOP_ADDONS,plan only,Heimnetz-Diagnose,,NA,NA,general,no,,,
fd537a033212471a05bd6326f505c7878755f9e7b4ebd09c90daac5c1b568a570baaad39fcf790da405b1edd89317d21b62fa91223991525f89aa05dc6c26923,124ce8ff-7dbe-4fba-99ba-451a97ed0c26,100049017300068676170001,f39bc5f2-8a38-4022-8631-cd6aa6532690,OneShop,debug,acquisition,one-checkout,errorEvent,,prod,ott,de,warning + confirmation,checkout/payment,2026-07-01,1782931451839,2026-07-01T18:44:12,phone,,https://www.telekom.de/shop/one-checkout/payment,,loggedin,,B2C,,,,warning + confirmation,Invalid Iban,,,,,,,,NA,NA,general,no,brownfield,,normal
b4d923aa978b16f9bbaafd65d120316a2303e7e2a135aaac599dce73b3360beb8337ce9b1419dad760b34a9eb75637b019339fd6a8d40202c4ef1b8ee9b79f89,aed9f9be-dd60-4529-a662-077e02a6d40d,100049015511389757620001,d6805710-0e4f-38dc-a4e8-3f14c314fd74,OneShop,event,acquisition,,sideDrawerModalViewed,,prod,fixed,de,,BASKET,2026-07-01,1782893263121,2026-07-01T08:07:48,desktop,,https://www.telekom.de/shop/basket,,loggedin,,B2C,,,,,,,,,,,,,NA,NA,general,no,,,
ad0d5239bd44236911f724bfe8b8518df89a4fa147e0f1102801f3a1ec664a6a4e24e9a0201399ad1c378969734cd75ddeb482d6ecb111b83b69da1a0e3cc3a2,b160e5e1-b5d2-43b7-8347-dee7258d345b,,,OneShop,event,acquisition,,magentaeinsEligibilityCheck,,prod,NA,de,not eligible,BASKET,2026-07-01,1782919305750,2026-07-01T15:21:46,phone,,https://www.telekom.de/shop/basket,,loggedin,,B2C,,,,,,,,,,,,,NA,NA,general,no,,,
532bd5cd6b05ac732384e0cf271a313a0a33a0468879557be89d19109fe6b2319557b187a7fa77cd57d0f7da52ea9144f9deeac24b5c846153ef1045504e3db0,17b0d4b8-4bbd-4880-adce-70cab382e891,,,OneShop,event,acquisition,one-checkout,clickInteractions,,prod,mobile,de,Weiter,checkout/account,2026-07-01,1782917638742,2026-07-01T14:54:09,phone,,https://www.telekom.de/shop/one-checkout/account,,guest,Weiter,B2C,,,,,,,,,,,,,NA,NA,general,no,,,normal
a34ffe3202f2bb907a6f86ad76ebc7d67bf7580ad7b3ca7fcca6c116f86647cdeee16ec59bb2faab9f6ee631969b4ae238507975150a7b45804035fd4d896353,4a2d95c2-41ab-44d8-a34a-6b4a891a058f,100049015511420649230001,d82bb1a2-3b0f-45aa-b542-a4f33d90d988,OneShop,event,acquisition,one-checkout,paymentInitiated,,prod,fixed,de,payment Initiated,checkout/payment,2026-07-01,1782907414844,2026-07-01T12:03:35,phone,,https://www.telekom.de/shop/one-checkout/payment,existing,loggedin,,B2C,,,Fixed Service/addon/broadbandAddon,,,,Heimnetz-Diagnose,,AUTOMATIC_ONTOP_ADDONS,,Heimnetz-Diagnose,,NA,NA,general,no,brownfield,private,normal
